gene,min,max
ABL1,22.0,26.9
AKT1,23.0,27.0
ALK,26.1,30.9
APC,10.0,14.9
ATM,20.1,26.0
BRAF,24.1,28.9
CDH1,13.1,17.9
CDKN2A,16.0,20.0
CSF1R,14.0,18.8
CTNNB1,13.0,19.0
EGFR,16.0,21.0
ERBB2,30.0,35.0
ERBB4,26.1,31.0
FBXW7,24.0,27.0
FGFR1,30.0,34.0
FGFR2,13.0,18.0
FGFR3,22.0,26.0
FLT3,26.0,31.0
GNA11,9.1,12.0
GNAQ,19.1,23.0
GNAS,15.0,18.0
HNF1A,13.0,17.0
HRAS,19.1,24.9
IDH1,24.0,29.0
JAK2,15.0,19.0
JAK3,19.1,25.0
KDR,12.1,17.0
KIT,10.1,13.0
KRAS,16.1,21.0
MET,9.0,13.0
MLH1,17.0,23.0
MPL,18.0,23.0
NOTCH1,23.0,26.0
NPM1,20.3,24.0
NRAS,20.1,24.0
PDGFRA,22.0,24.0
PIK3CA,12.0,15.9
PTEN,22.1,26.0
PTPN11,13.0,18.0
RB1,26.1,30.0
RET,30.0,35.9
SMAD4,19.2,23.9
SMARCB1,16.0,19.9
SMO,16.0,19.0
SRC,25.0,29.9
STK11,21.0,25.0
TP53,27.1,30.0
VHL,26.0,30.9
