gene,min,max
ABL1,11.5,26.8
AKT1,23.1,27.0
ALK,26.0,31.0
APC,10.0,25.9
ATM,20.0,26.0
BRAF,24.0,28.9
CDH1,13.1,18.0
CDKN2A,8.1,19.9
CSF1R,14.0,19.0
CTNNB1,13.1,19.0
EGFR,10.1,20.9
ERBB2,30.0,35.0
ERBB4,26.0,31.0
FBXW7,24.0,27.0
FGFR1,30.1,33.9
FGFR2,13.1,17.9
FGFR3,22.0,26.0
FLT3,26.1,31.0
GNA11,9.0,32.9
GNAQ,19.0,23.0
GNAS,15.0,18.0
HNF1A,13.1,17.0
HRAS,11.0,24.9
IDH1,12.7,28.9
JAK2,15.0,19.0
JAK3,10.6,25.0
KDR,12.1,17.0
KIT,10.0,13.0
KRAS,8.1,21.0
MET,9.0,12.9
MLH1,17.0,23.0
MPL,18.3,23.0
NOTCH1,11.4,25.9
NPM1,20.0,24.0
NRAS,20.0,24.0
PDGFRA,22.1,24.0
PIK3CA,12.0,28.9
PTEN,22.1,25.9
PTPN11,13.0,17.9
RB1,26.0,30.0
RET,30.2,35.9
SMAD4,19.1,24.0
SMARCB1,16.0,35.9
SMO,10.7,19.0
SRC,25.0,29.9
STK11,21.0,25.0
TP53,27.0,30.0
VHL,26.2,31.0
