gene,min,max,mean,std,prob_outlier
ABL1,22.0,26.9,24.45,1.225,0.01
AKT1,23.0,27.0,25.0,1.0,0.01
ALK,26.1,30.9,28.5,1.2,0.01
APC,10.0,14.9,12.45,1.225,0.01
ATM,20.1,26.0,23.05,1.475,0.01
BRAF,24.1,28.9,26.5,1.2,0.01
CDH1,13.1,17.9,15.5,1.2,0.01
CDKN2A,16.0,20.0,18.0,1.0,0.01
CSF1R,14.0,18.8,16.4,1.2,0.01
CTNNB1,13.0,19.0,16.0,1.5,0.01
EGFR,16.0,21.0,18.5,1.25,0.01
ERBB2,30.0,35.0,32.5,1.25,0.01
ERBB4,26.1,31.0,28.55,1.225,0.01
FBXW7,24.0,27.0,25.5,0.75,0.01
FGFR1,30.0,34.0,32.0,1.0,0.01
FGFR2,13.0,18.0,15.5,1.25,0.01
FGFR3,22.0,26.0,24.0,1.0,0.01
FLT3,26.0,31.0,28.5,1.25,0.01
GNA11,9.1,12.0,10.55,0.725,0.01
GNAQ,19.1,23.0,21.05,0.975,0.01
GNAS,15.0,18.0,16.5,0.75,0.01
HNF1A,13.0,17.0,15.0,1.0,0.01
HRAS,19.1,24.9,22.0,1.45,0.01
IDH1,24.0,29.0,26.5,1.25,0.01
JAK2,15.0,19.0,17.0,1.0,0.01
JAK3,19.1,25.0,22.05,1.475,0.01
KDR,12.1,17.0,14.55,1.225,0.01
KIT,10.1,13.0,11.55,0.725,0.01
KRAS,16.1,21.0,18.55,1.225,0.01
MET,9.0,13.0,11.0,1.0,0.01
MLH1,17.0,23.0,20.0,1.5,0.01
MPL,18.0,23.0,20.5,1.25,0.01
NOTCH1,23.0,26.0,24.5,0.75,0.01
NPM1,20.3,24.0,22.15,0.925,0.01
NRAS,20.1,24.0,22.05,0.975,0.01
PDGFRA,22.0,24.0,23.0,0.5,0.01
PIK3CA,12.0,15.9,13.95,0.975,0.01
PTEN,22.1,26.0,24.05,0.975,0.01
PTPN11,13.0,18.0,15.5,1.25,0.01
RB1,26.1,30.0,28.05,0.975,0.01
RET,30.0,35.9,32.95,1.475,0.01
SMAD4,19.2,23.9,21.55,1.175,0.01
SMARCB1,16.0,19.9,17.95,0.975,0.01
SMO,16.0,19.0,17.5,0.75,0.01
SRC,25.0,29.9,27.45,1.225,0.01
STK11,21.0,25.0,23.0,1.0,0.01
TP53,27.1,30.0,28.55,0.725,0.01
VHL,26.0,30.9,28.45,1.225,0.01
